Date;1;2;3;4;5;Euro Number1;Euro Number2 
23 August 2019;15;18;19;41;42;4;6
16 August 2019;7;20;35;42;44;3;7
09 August 2019;2;4;20;21;49;9;10
02 August 2019;6;11;38;41;44;9;10
26 July 2019;3;8;30;46;48;1;3
19 July 2019;31;32;45;47;49;7;9
12 July 2019;31;36;40;42;45;7;9
05 July 2019;1;15;34;48;50;6;10
28 June 2019;18;25;26;35;38;5;6
21 June 2019;20;27;37;41;45;1;7
14 June 2019;8;23;40;41;42;2;10
07 June 2019;7;8;20;35;38;5;9
31 May 2019;10;12;35;36;43;2;5
24 May 2019;8;26;38;47;50;3;7
17 May 2019;20;27;33;35;46;5;9
10 May 2019;5;7;15;19;29;3;8
03 May 2019;3;9;10;19;42;1;7
26 April 2019;1;6;11;17;38;4;8
19 April 2019;18;21;37;43;47;1;3
12 April 2019;14;16;21;30;37;4;8
05 April 2019;22;31;43;44;50;1;9
29 March 2019;4;9;15;24;42;8;9
22 March 2019;15;20;24;44;49;7;9
15 March 2019;1;2;11;19;47;2;7
08 March 2019;4;29;30;31;45;1;7
01 March 2019;7;16;18;19;24;1;6
22 February 2019;14;16;21;25;26;8;10
15 February 2019;1;24;30;31;47;7;9
08 February 2019;5;8;21;24;26;4;5
01 February 2019;6;29;38;45;47;2;3
25 January 2019;24;25;28;35;48;4;8
18 January 2019;2;9;23;36;47;2;9
11 January 2019;6;12;35;39;49;4;9
04 January 2019;3;10;25;32;43;1;3
